code,name,remarks
pc,Piece,
ft,Foot,
box,Box,
tin,Tin,
gal,Gallon,
l,Liter,
ml,Milliliter,
bottle,Bottle,
cubic,Cubic,
bag,Bag,
kg,Kilogram,
pair,Pair,
m,Meter,
kilo,Kilo,
tube,Tube,
sachet,Sachet,
500ml,500ml,
250ml,250ml,
100ml,100ml,
60ml,60ml,
40mg,40mg,
15mg,15mg,
sheet,Sheet,
roll,Roll,
